metro_area_city,income,pop
"muscatine, ia",26435,23631
"muskegon, mi",17495,36565
"muskogee, ok",22107,37113
"myrtle beach-conway-north myrtle beach, sc-nc",31149,25823
"nacogdoches, tx",21671,32877
"napa, ca",40414,78130
"naples-immokalee-marco island, fl",63718,21396
"nashville-davidson--murfreesboro--franklin, tn",38063,300272
"natchez, ms-la",18596,14615
"natchitoches, la",16392,17485
"new bern, nc",29459,29994
"new castle, in",20539,17113
"new castle, pa",20522,21618
"new haven-milford, ct",38233,91722
"new orleans-metairie, la",33941,264312
"new philadelphia-dover, oh",27536,15066
"new ulm, mn",31924,13212
"new york-newark-jersey city, ny-nj-pa",34004,2960301
"newberry, sc",20091,10199
"newport, or",27653,10853
"newport, tn",13951,6884
"newton, ia",25265,15182
"niles-benton harbor, mi",17819,10445
"nogales, az",17769,20103
"norfolk, ne",28400,24449
"north platte, ne",28348,23639
"north port-sarasota-bradenton, fl",32586,62816
"north vernon, in",26730,6702
"north wilkesboro, nc",17517,4194
"norwalk, oh",24414,16867
"norwich-new london, ct",28029,32813
"oak harbor, wa",27856,23565
"ocala, fl",27340,60786
"ocean city, nj",53652,10971
"odessa, tx",30470,123334
"ogden-clearfield, ut",23330,59945
"ogdensburg-massena, ny",23870,10318
"oil city, pa",25249,9618
"okeechobee, fl",20628,5816
"oklahoma city, ok",30567,655057
"olean, ny",27396,13437
"olympia-tumwater, wa",34655,38453
"omaha-council bluffs, ne-ia",30226,270179
"oneonta, ny",21945,13907
"ontario, or-id",20456,10994
"opelousas, la",17040,15911
"orangeburg, sc",18570,12654
"orlando-kissimmee-sanford, fl",25146,140535
"oshkosh-neenah, wi",29745,46652
"oskaloosa, ia",27175,11506
"othello, wa",20462,8386
"ottawa, ks",24444,12254
"ottawa-peru, il",30421,13896
"ottumwa, ia",24916,24368
"owatonna, mn",32725,25704
"owensboro, ky",26305,60131
"owosso, mi",22947,14441
"oxford, ms",28427,28122
"oxford, nc",22377,8886
"oxnard-thousand oaks-ventura, ca",38537,393900
"ozark, al",24698,14284
"paducah, ky-il",32097,24865
"pahrump, nv",24882,36441
"palatka, fl",16292,10451
"palestine, tx",20192,17730
"palm bay-melbourne-titusville, fl",26048,81720
"pampa, tx",25086,17068
"panama city, fl",26517,34667
"paragould, ar",22949,28986
"paris, tn",19104,10056
"paris, tx",20638,24847
"parkersburg-vienna, wv",28264,19715
"parsons, ks",22273,9477
"payson, az",31109,15813
"pecos, tx",22354,10461
"pensacola-ferry pass-brent, fl",25668,34566
"peoria, il",31497,110417
"peru, in",20733,11023
"philadelphia-camden-wilmington, pa-nj-de-md",24387,575930
"phoenix-mesa-scottsdale, az",40508,819024
"picayune, ms",19651,10904
"pierre, sd",33351,13867
"pine bluff, ar",18547,41474
"pinehurst-southern pines, nc",46774,15638
"pittsburg, ks",20056,20050
"pittsburgh, pa",34083,300286
"pittsfield, ma",31953,42142
"plainview, tx",21129,20143
"platteville, wi",21127,12087
"plattsburgh, ny",25110,19515
"plymouth, in",19036,9982
"pocatello, id",24366,56637
"point pleasant, wv-oh",27631,4146
"ponca city, ok",25838,23660
"pontiac, il",21858,11253
"poplar bluff, mo",18417,16937
"port angeles, wa",27297,20229
"port clinton, oh",26118,6176
"port lavaca, tx",26592,11854
"port st. lucie, fl",27546,201846
"portales, nm",17807,11610
"portland-south portland, me",37628,45873
"portland-vancouver-hillsboro, or-wa",36861,316110
"portsmouth, oh",22068,20158
"pottsville, pa",26130,13475
"prescott, az",36111,44299
"price, ut",20407,8332
"prineville, or",21368,10734
"providence-warwick, ri-ma",33106,130443
"provo-orem, ut",23196,107223
"pueblo, co",23098,112361
"pullman, wa",20201,34506
"punta gorda, fl",46684,20369
"quincy, il-mo",29049,39949
"racine, wi",22808,76760
"raleigh, nc",38494,474069
"rapid city, sd",31299,77503
"raymondville, tx",13007,10880
"reading, pa",15654,88375
"red bluff, ca",16963,14539
"red wing, mn",31881,16320
"redding, ca",30199,92590
"reno, nv",34475,255601
"rexburg, id",14833,29400
"richmond, in",23827,35342
"richmond, va",33549,230436
"richmond-berea, ky",21859,26091
"rio grande city, tx",16469,14511
"riverside-san bernardino-ontario, ca",22452,244051
"riverton, wy",28734,10772
"roanoke rapids, nc",23600,14320
"roanoke, va",27006,99143
"rochelle, il",24988,9052
"rochester, mn",39518,118935
"rochester, ny",23246,205695
"rock springs, wy",33468,22653
"rockford, il",25517,145609
"rockingham, nc",20999,8659
"rocky mount, nc",24480,53922
"rolla, mo",21700,20431
"rome, ga",25822,36716
"roseburg, or",27155,23479
"roswell, nm",22119,47551
"russellville, ar",20819,29175
"ruston, la",18391,21854
"rutland, vt",30235,15074
"sacramento--roseville--arden-arcade, ca",34564,252662
"safford, az",20706,9983
"saginaw, mi",16960,48115
"salem, oh",27002,11612
"salem, or",27454,174365
"salina, ks",27745,46550
"salinas, ca",21504,155465
"salisbury, md-de",21990,32935
"salt lake city, ut",36779,200567
"san angelo, tx",28910,101004
"san antonio-new braunfels, tx",29649,818731
"san diego-carlsbad, ca",49776,76916
"san francisco-oakland-hayward, ca",48607,491261
"san jose-sunnyvale-santa clara, ca",56018,434954
"san luis obispo-paso robles-arroyo grande, ca",35340,32419
"sandpoint, id",25724,8931
"sandusky, oh",23389,24564
"sanford, nc",22981,30085
"santa cruz-watsonville, ca",30261,59232
"santa fe, nm",37081,84683
"santa maria-santa barbara, ca",33571,99313
"santa rosa, ca",36935,176753
"sault ste. marie, mi",24000,13420
"savannah, ga",25664,144464
"sayre, pa",29424,5366
"scottsbluff, ne",25115,14556
"scottsboro, al",25467,14436
"scranton--wilkes-barre--hazleton, pa",21379,47404
"searcy, ar",20772,23660
"seattle-tacoma-bellevue, wa",53030,373222
"sebastian-vero beach, fl",36342,21810
"sebring, fl",24623,10600
"sedalia, mo",22557,21629
"selinsgrove, pa",23054,5902
"selma, al",17773,17231
"seneca falls, ny",30259,8622
"seneca, sc",27327,8533
"sevierville, tn",24350,17117
"seymour, in",24378,19959
"shawano, wi",26347,8935
"shawnee, ok",23138,31436
"sheboygan, wi",25730,47965
"shelby, nc",23751,20026
"shelbyville, tn",19180,22101
"shelton, wa",19965,10655
"sheridan, wy",32358,17940
"sherman-denison, tx",24484,34765
"show low, az",25014,11442
"shreveport-bossier city, la",26312,127635
"sidney, oh",26585,20449
"sierra vista-douglas, az",24637,29619
"sikeston, mo",24289,16023
"silver city, nm",23715,9386
"sioux city, ia-ne-sd",26982,82651
"sioux falls, sd",33065,183793
"snyder, tx",24924,11023
"somerset, ky",22751,11585
"somerset, pa",26105,5855
"sonora, ca",25319,4844
"south bend-mishawaka, in-mi",23926,76194
"spartanburg, sc",25570,37399
"spearfish, sd",32936,11756
"spencer, ia",28067,10952
"spirit lake, ia",35055,5155
"spokane-spokane valley, wa",28651,161570
"springfield, il",34607,114230
"springfield, ma",21499,153606
"springfield, mo",23428,167882
"springfield, oh",21715,58877
"st. cloud, mn",27183,68462
"st. george, ut",28507,89587
"st. joseph, mo-ks",25314,74875
"st. louis, mo-il",30542,300576
"st. marys, ga",29462,18567
"starkville, ms",22813,25653
"state college, pa",19084,42160
"statesboro, ga",14779,32954
"staunton-waynesboro, va",28599,23781
"steamboat springs, co",46626,13214
"stephenville, tx",24810,21247
"sterling, co",23133,14495
"sterling, il",26067,14463
"stevens point, wi",25564,25880
"stillwater, ok",22487,50299
"stockton-lodi, ca",26514,190141
"storm lake, ia",21393,10322
"sturgis, mi",19550,10861
"sulphur springs, tx",24828,16234
"summerville, ga",17374,4320
"summit park, ut",62187,7775
"sumter, sc",23883,39642
"sunbury, pa",21313,9362
"susanville, ca",13817,15010
"sweetwater, tx",21571,10469
"syracuse, ny",23090,142327
"tahlequah, ok",21660,16819
"talladega-sylacauga, al",20332,13745
"tallahassee, fl",27677,194500
"tampa-st. petersburg-clearwater, fl",34794,260665
"taos, nm",24818,5929
"taylorville, il",25257,10360
"terre haute, in",20989,60622
"texarkana, tx-ar",26279,32987
"the dalles, or",27558,15448
"the villages, fl",32245,79372
"thomaston, ga",19889,8752
"thomasville, ga",24313,18518
"tiffin, oh",22958,17582
"tifton, ga",19775,16838
"toccoa, ga",22525,8336
"toledo, oh",22438,272779
"topeka, ks",27968,125310
"torrington, ct",32881,34044
"traverse city, mi",37814,15738
"trenton, nj",19281,83203
"troy, al",22411,18957
"truckee-grass valley, ca",39346,14776
"tucson, az",23655,548073
"tullahoma-manchester, tn",26817,15296
"tulsa, ok",30970,401190
"tupelo, ms",27501,38312
"tuscaloosa, al",26437,101129
"twin falls, id",24933,50197
"tyler, tx",29335,106985
"ukiah, ca",27116,15995
"union city, tn-ky",30812,8179
"urban honolulu, hi",37834,345064
"urbana, oh",22973,11404
"utica-rome, ny",24067,45949
"uvalde, tx",18950,16001
"valdosta, ga",21559,56457
"vallejo-fairfield, ca",33250,119412
"valley, al",23404,9141
"van wert, oh",23644,10676
"vermillion, sd",25612,10926
"vernal, ut",22847,10438
"vernon, tx",22684,10323
"vicksburg, ms",22392,21653
"victoria, tx",28532,66916
"vidalia, ga",29732,10402
"vincennes, in",21988,16862
"vineland-bridgeton, nj",21339,41799
"vineyard haven, ma",36705,2123
"virginia beach-norfolk-newport news, va-nc",31966,290647
"visalia-porterville, ca",22891,97102
"wabash, in",27149,30996
"waco, tx",22461,139236
"wahpeton, nd-mn",25535,7734
"walla walla, wa",25599,32900
"wapakoneta, oh",27231,9698
"warner robins, ga",27097,77617
"warren, pa",27776,9049
"warrensburg, mo",23678,20418
"warsaw, in",26076,15150
"washington court house, oh",24498,14091
"washington, in",21175,12528
"washington, nc",24652,9497
"washington-arlington-alexandria, dc-va-md-wv",63555,357601
"waterloo-cedar falls, ia",31247,53932
"watertown, sd",28902,22174
"watertown-fort atkinson, wi",27768,17950
"watertown-fort drum, ny",21624,18896
"wauchula, fl",20543,4803
"wausau, wi",30593,38561
"waycross, ga",18264,13480
