metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"brenham, tx",283464.4643,103.9166667,65.41666667,34.66666667,0,27.33333333,33.91666667,379139.2537,137.8333333,2019
"brevard, nc",463439.8095,408.0833333,143.2916667,56.33333333,1.666666667,57,79.08333333,704351.4463,487.1666667,2019
"bridgeport-stamford-norwalk, ct",727236.1012,7693.166667,86.08333333,1656.333333,30.33333333,1499,69.83333333,1371200.674,7763,2019
"brookhaven, ms",157885.1191,105.1666667,109.8333333,17.33333333,0,17.33333333,1.333333333,220692.6739,106.5,2019
"brookings, or",444025.5952,236.4166667,108.5,42,1.333333333,41.66666667,16.66666667,632831.3184,253.0833333,2019
"brookings, sd",248925.5952,91.75,91.79166667,26,1,11,54.33333333,279280.6386,146.0833333,2019
"brownsville-harlingen, tx",234656.5476,1615.666667,115.5,316.3333333,12,218,274.5,325817.2509,1890.166667,2019
"brownwood, tx",147578.5714,176.3333333,97.66666667,36.66666667,0,37.66666667,54.41666667,221668.322,230.75,2019
"brunswick, ga",375376.3095,1259.166667,110.5833333,236.6666667,10.66666667,199,73.66666667,701438.7839,1332.833333,2019
"bucyrus, oh",85161.90476,125.0833333,62.125,47.33333333,0,27,27.91666667,130920.1616,153,2019
"buffalo-cheektowaga-niagara falls, ny",202348.4464,1871.166667,48.41666667,958.3333333,19.66666667,574,422.6666667,273449.5616,2293.833333,2019
"burley, id",210126.5,146.0833333,52,60.66666667,0.333333333,27.33333333,1.916666667,253609.6289,148,2019
"burlington, ia-il",123089.2441,267,88.95833333,60.66666667,0,57.33333333,69.08333333,161902.6541,336.0833333,2019
"burlington, nc",249821.8155,630.5,59,295,18.33333333,142,157.5833333,291259.9161,788.0833333,2019
"burlington-south burlington, vt",324931.8452,775.5833333,99.33333333,221,10,157.3333333,148.9166667,409796.3109,924.5,2019
"butte-silver bow, mt",182389.0774,204.8333333,68.33333333,63.33333333,0.666666667,47,70,223220.855,274.8333333,2019
"cadillac, mi",166211.3095,286,77.58333333,75.66666667,1,46.66666667,22,195051.1327,308,2019
"calhoun, ga",174145.9524,343.9166667,89.45833333,84.33333333,2,65.33333333,125.8333333,260748.5331,469.75,2019
"california-lexington park, md",326553.6845,428.5833333,62.75,155,4.666666667,109.6666667,81.25,368929.3362,509.8333333,2019
"cambridge, md",220539.7976,222.5833333,114.6666667,38.66666667,1,36,20,312958.9986,242.5833333,2019
"cambridge, oh",149290.9881,168.3333333,90.83333333,37.33333333,0.333333333,32.33333333,42.66666667,219025.8634,211,2019
"camden, ar",96001.19048,126.75,119.5416667,17.33333333,0.333333333,9,3.583333333,125444.985,130.3333333,2019
"campbellsville, ky",141856.8452,73.83333333,84.08333333,16.33333333,0,14.33333333,5.25,167277.9104,79.08333333,2019
"canton, il",85125.59524,169.3333333,89.16666667,36.66666667,0,36.66666667,35.91666667,121227.4371,205.25,2019
"canton-massillon, oh",160529.1667,884.5833333,44.25,484.6666667,1.666666667,224.3333333,580.8333333,215377.333,1465.416667,2019
"cape coral-fort myers, fl",303677.2321,9477.416667,86.375,2283.333333,153,2567.333333,2822.333333,509095.1524,12299.75,2019
"cape girardeau, mo-il",184185.1191,363.1666667,83.375,97.33333333,0,66.33333333,136.25,267433.2059,499.4166667,2019
"carbondale-marion, il",117808.3333,837.0833333,91,134,0.666666667,121,171.5,155844.6,1008.583333,2019
"carlsbad-artesia, nm",256956.0357,204.3333333,54.25,62.66666667,2,28,18.91666667,275349.3046,223.25,2019
"carson city, nv",384663.625,109.1666667,49.5,55.33333333,0.666666667,42.33333333,103.75,465558.274,212.9166667,2019
"casper, wy",239612.7976,293.25,56.54166667,111,2,66,0.25,286881.3723,293.5,2019
"canon city, co",327886.2798,289,67.375,95,1,66.66666667,98.33333333,432917.2354,387.3333333,2019
"cedar city, ut",264437.869,622.4166667,69.125,179.3333333,8,121,40.75,324498.3739,663.1666667,2019
"cedar rapids, ia",221920.2381,1018.666667,56.875,409.3333333,11,272.3333333,64.25,258226.8997,1082.916667,2019
"cedartown, ga",163353.5714,241.8333333,58.95833333,101,3,56.33333333,114.8333333,279267.0483,356.6666667,2019
"celina, oh",151347.0238,112.4166667,77.875,31,0,19,28.5,176591.9682,140.9166667,2019
"centralia, il",117258.9286,189.1666667,79.16666667,31.33333333,0,27,49.41666667,144395.5847,238.5833333,2019
"centralia, wa",320394.9167,225.25,61.25,95,1.666666667,59.66666667,96.66666667,368772.8042,321.9166667,2019
"chambersburg-waynesboro, pa",218698.9881,506.9166667,77.95833333,143.6666667,5,120,32.08333333,240763.2892,539,2019
"champaign-urbana, il",172107.7381,968,88.66666667,233.3333333,1,239.3333333,371.4166667,218090.2917,1339.416667,2019
"charleston, wv",149660.7143,1082.166667,90.875,252,0.333333333,191.6666667,285.75,237254.0421,1367.916667,2019
"charleston-mattoon, il",95587.5,286.9166667,98.125,56.33333333,0,54.33333333,8.333333333,122911.1671,295.25,2019
"charleston-north charleston, sc",420351.6964,4679.416667,79.29166667,1372,180,1651.666667,1873.916667,701691.6701,6553.333333,2019
"charlotte-concord-gastonia, nc-sc",341191.7441,8189.833333,57.83333333,3566.333333,340,2986,4317.666667,456165.7008,12507.5,2019
"charlottesville, va",415972.8214,1498,93.125,382.3333333,27.66666667,247.6666667,848.9166667,611868.0213,2346.916667,2019
"chattanooga, tn-ga",286683.9286,2246,64.5,776.6666667,31,638.3333333,92.75,347622.4514,2338.75,2019
"cheyenne, wy",324845.8333,259.9166667,47.875,132,10.66666667,45.66666667,301.4166667,358241.5548,561.3333333,2019
"chicago-naperville-elgin, il-in-wi",321774.9464,35951.83333,50.75,16336,328.6666667,11457.66667,17452.08333,462130.9991,53403.91667,2019
"chico, ca",354845.7738,533.5,46.08333333,270,5,199,370.5833333,425727.537,904.0833333,2019
"chillicothe, oh",147931.9643,217,65,80.33333333,1.333333333,51,62,187383.8741,279,2019
"cincinnati, oh-ky-in",270155.7321,5471.5,54.16666667,2539,65,1770.666667,4255.75,354225.3854,9727.25,2019
"claremont-lebanon, nh-vt",277623.8571,1655.166667,118.2083333,335.3333333,7.666666667,235.6666667,454,434889.8582,2109.166667,2019
"clarksburg, wv",168782.4405,240.5833333,89.41666667,58,0.333333333,54.33333333,83.33333333,206764.3145,323.9166667,2019
"clarksdale, ms",101748.8095,44.33333333,107.2083333,8.666666667,0,4.666666667,1.416666667,131073.4976,45.75,2019
"clarksville, tn-ky",248457.2024,1214.416667,55.08333333,523.3333333,45.33333333,214.6666667,501.5,263029.5912,1715.916667,2019
"clearlake, ca",319054.1667,599.0833333,82.875,147,1.333333333,141.3333333,159.9166667,459139,759,2019
"cleveland, ms",140841.6667,59,99.29166667,11,0,5.666666667,2,167739.7608,61,2019
"cleveland, tn",250866.6667,617.3333333,62.5,212.3333333,3.666666667,159.6666667,165.3333333,311860.4929,782.6666667,2019
"cleveland-elyria, oh",195869.4048,5874.916667,63.16666667,2358.666667,53.66666667,1869.666667,3734,285278.2509,9608.916667,2019
