,metro_area/city,Per Capita Income,Pop
315,"garden city, ks",24037,26408
316,"gardnerville ranchos, nv",30913,11312
317,"georgetown, sc",21243,8742
318,"gettysburg, pa",20658,7724
319,"gillette, wy",32783,32030
320,"glasgow, ky",20426,14485
321,"glens falls, ny",29734,14262
322,"glenwood springs, co",33582,9930
323,"gloversville, ny",21140,14747
324,"goldsboro, nc",22420,34186
325,"grand forks, nd-mn",31718,55839
326,"grand island, ne",27203,51267
327,"grand junction, co",30452,63597
328,"grand rapids, mi",26120,201013
329,"grants pass, or",23806,38170
330,"grants, nm",22185,8942
331,"great bend, ks",25988,14974
332,"great falls, mt",30130,58434
333,"greeley, co",26222,108649
334,"green bay, wi",26618,104578
335,"greeneville, tn",23728,14891
336,"greenfield town, ma",32474,17258
337,"greensboro-high point, nc",27915,204750
338,"greensburg, in",27291,11891
339,"greenville, ms",19520,29085
340,"greenville, nc",25906,93400
341,"greenville, oh",24589,12615
342,"greenville-anderson-mauldin, sc",32809,41240
343,"greenwood, ms",21709,13561
344,"greenwood, sc",18885,23403
345,"grenada, ms",21084,12219
346,"gulfport-biloxi-pascagoula, ms",24692,46538
347,"guymon, ok",19455,10996
348,"hagerstown-martinsburg, md-wv",24139,28777
349,"hailey, id",24046,8689
350,"hammond, la",21394,21437
351,"hanford-corcoran, ca",18644,39831
352,"hannibal, mo",23360,17346
353,"harrisburg-carlisle, pa",26642,34234
354,"harrison, ar",22896,13080
355,"harrisonburg, va",23202,53016
356,"hartford-west hartford-east hartford, ct",35623,78875
357,"hastings, ne",28156,24692
358,"hattiesburg, ms",21673,45863
359,"hays, ks",29115,20744
360,"heber, ut",27584,17082
361,"helena, mt",35976,33124
362,"helena-west helena, ar",15550,10299
363,"henderson, nc",22170,14911
364,"hereford, tx",20930,14622
365,"hermiston-pendleton, or",23572,17285
366,"hickory-lenoir-morganton, nc",24488,25220
367,"hillsdale, mi",21064,8003
368,"hilo, hi",29915,43263
369,"hilton head island-bluffton-beaufort, sc",42737,26284
370,"hinesville, ga",22555,33273
371,"hobbs, nm",25437,39141
372,"holland, mi",27225,33216
373,"homosassa springs, fl",23445,13791
374,"hood river, or",37026,7801
375,"hot springs, ar",24562,38797
376,"houghton, mi",16354,7754
377,"houma-thibodaux, la",26919,23560
